price,stNumber,stName,size,beacon,baseFloor,buildingStyle,elevators,rooms,bedrooms,fullBathrooms,halfBathrooms,garage
770000,20,CHAPEL ST,1727,0,3,HIGH-RISE,6,6,3,2,1,2
705000,20,CHAPEL ST,1553,0,1,HIGH-RISE,6,5,2,2,0,2
811000,20,CHAPEL ST,1727,0,5,HIGH-RISE,6,6,2,2,1,2
325000,50,GREEN ST,742,0,1,LOW-RISE,1,3,1,1,0,0
699900,206,ASPINWALL AVE,1631,0,2,DECKER,0,7,4,2,0,0
575000,24,ALTON PL,1273,0,1,LOW-RISE,0,4,2,2,0,1
655000,12,GIBBS ST,1529,0,1,LOW-RISE,0,6,2,1,0,0
550000,1753,BEACON ST,1852,1,4,ROW-MIDDLE,0,8,3,2,0,0
625000,98,BROOK ST,1244,0,1,DUPLEX,0,5,3,2,0,0
300000,1731,BEACON ST,682,1,4,HIGH-RISE,2,4,1,1,0,1
582000,150,ST PAUL ST,1103,0,3,LOW-RISE,1,4,2,2,1,1
565000,629,HAMMOND ST,1170,0,2,LOW-RISE,2,5,2,2,0,1
550000,108,HARVARD ST,993,0,1,CLUSTER-TYPE,0,4,2,2,0,1
425000,14,JAMES ST,1088,0,1,LOW-RISE,0,4,1,1,0,0
269000,76,EGMONT ST,960,0,0,ROW-END,0,5,1,1,0,0
430000,11,COLBOURNE CRES,1020,0,3,ROW-END,0,4,2,1,0,0
460000,35,WHITE PL,1028,0,3,DECKER,0,4,2,1,1,0
605000,41,CENTRE ST,1277,0,2,LOW-RISE,1,5,2,2,0,0
520000,236,RAWSON RD,2070,0,3,ROW-END,0,7,3,2,0,0
363000,24,PARKMAN ST,672,0,1,LOW-RISE,0,4,1,1,0,1
459000,83,IVY ST,1129,0,1,LOW-RISE,0,5,1,1,1,0
1125000,51,ST PAUL ST,2039,0,2,DECKER,1,5,3,3,0,2
355000,45,MASON TER,786,0,1,LOW-RISE,0,4,1,1,0,0
705000,12,LARKIN RD,1870,0,1,CLUSTER-TYPE,0,8,3,3,1,1
439000,113,CROWNINSHIELD RD,856,0,1,LOW-RISE,0,4,1,1,0,1
303000,1600,BEACON ST,557,1,9,HIGH-RISE,2,2,1,1,0,0
732500,42,REGENT CIR,1907,0,1,CLUSTER-TYPE,0,6,2,2,1,1
449000,22,GARRISON RD,1064,0,2,ROW-MIDDLE,0,5,2,1,0,0
660000,147,SALISBURY RD,1823,0,1,CONVERTED-HOUSE,0,5,2,2,0,0
535000,465,WASHINGTON ST,1250,0,2,LOW-RISE,0,6,3,1,0,0
460000,45,LONGWOOD AVE,1271,0,2,MID-RISE,2,4,2,2,0,0
399000,107,CROWNINSHIELD RD,853,0,1,LOW-RISE,0,3,1,1,0,1
388000,176,NAPLES RD,920,0,2,LOW-RISE,0,4,2,1,0,0
320000,20,CHAPEL ST,897,0,0,HIGH-RISE,6,5,2,1,0,0
859000,659,WASHINGTON ST,2157,0,1,DUPLEX,0,10,5,3,1,2
980000,50,CLARK RD,2698,0,1,DUPLEX,0,8,4,4,0,2
120151,108,ST PAUL ST,1100,0,0,LOW-RISE,0,4,2,1,0,0
282500,33,POND AVE,870,0,2,HIGH-RISE,5,3,1,1,0,1
531000,20,CHAPEL ST,1141,0,2,HIGH-RISE,6,5,2,2,0,1
314000,20,CHAPEL ST,566,0,3,HIGH-RISE,6,4,1,1,0,0
605000,629,HAMMOND ST,1301,0,3,LOW-RISE,2,4,2,2,0,2
271000,20,CHAPEL ST,732,0,0,HIGH-RISE,6,4,1,1,0,0
511500,629,HAMMOND ST,1164,0,2,LOW-RISE,2,4,2,2,0,1
569000,78,CYPRESS ST,1429,0,1,DUPLEX,0,7,3,2,0,0
849000,123,WALNUT ST,2216,0,2,DUPLEX,0,5,3,2,1,0
1140416,227,SUMMIT AVE,1957,0,4,LOW-RISE,2,6,3,2,1,1
455000,86,GRIGGS RD,1157,0,3,LOW-RISE,0,5,2,2,0,0
528000,20,CHAPEL ST,945,0,1,HIGH-RISE,6,5,2,1,0,1
165000,183,FULLER ST,159,0,3,DECKER,0,1,1,0,0,0
412000,106,SEWALL AVE,1047,0,1,LOW-RISE,0,4,2,1,0,0
450000,1756,BEACON ST,1654,1,3,ROW-MIDDLE,0,4,2,1,0,0
270000,131,SEWALL AVE,717,0,4,MID-RISE,2,3,1,1,0,0
740000,70,PARK ST,2002,0,7,HIGH-RISE,4,6,3,2,0,1
176500,41,PARK ST,453,0,4,LOW-RISE,1,1,1,1,0,0
1200000,75,FRANCIS ST,2922,0,1,DECKER,0,8,3,3,0,2
600000,1265,BEACON ST,1382,1,4,HIGH-RISE,2,5,2,2,0,1
