Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kiana Williams,SEA,G,13,45,13,0,3.5,0.3,1.2,0.25,0.2,0.7,0.333,0.1,0.5,0.143,0,0,,0,0.2,0.4,0,0,0.2,0.2,0.8
A'ja Wilson,LVA,C,38,1308,38,38,34.4,10.1,19.6,0.518,0.5,1.6,0.317,9.6,18,0.536,6.1,7.2,0.844,2.1,11.9,2.3,1.8,2.6,1.3,1.8,26.9
Jackie Young,LVA,G,37,1205,37,37,32.6,5.4,12.6,0.43,1.9,5.6,0.337,3.5,7,0.506,3,3.5,0.867,0.7,4.4,5.3,1,0.2,2.1,2.5,15.8
Li Yueru,LAS,C,37,540,37,2,14.6,1.8,3.9,0.462,0.1,0.4,0.267,1.7,3.5,0.485,1.4,1.6,0.898,1.5,3.7,0.6,0.3,0.2,0.9,2.1,5.2
Cecilia Zandalasini,MIN,F,39,469,39,0,12,1.7,3.7,0.451,0.8,1.8,0.449,0.9,1.9,0.453,0.5,0.7,0.621,0.1,1.1,1.1,0.4,0.2,0.8,1.4,4.6
Rachel Banham,TOT,G,36,568,36,8,15.8,2,5.4,0.362,1.4,3.9,0.371,0.5,1.6,0.339,0.4,0.5,0.778,0.2,1.5,1.1,0.3,0.2,0.5,1.6,5.8
Morgan Bertsch,TOT,F,11,100,11,0,9.1,0.5,2.7,0.2,0.2,1.4,0.133,0.4,1.4,0.267,0.7,0.9,0.8,0.7,1.5,0.2,0.1,0.1,1.2,1.3,2
Monique Billings,TOT,F,36,825,36,14,22.9,3,6.4,0.467,0.1,0.4,0.214,2.9,6,0.484,1.6,2,0.803,1.8,5.8,1.5,0.8,0.5,1.8,2.3,7.6
Crystal Dangerfield,TOT,G,32,435,32,5,13.6,1.2,4.1,0.282,0.5,1.9,0.274,0.6,2.2,0.29,0.5,0.5,0.882,0.1,1.1,1.9,0.3,0.2,0.8,0.8,3.3
Queen Egbo,TOT,F-C,7,13,7,0,1.9,0.1,0.9,0.167,0,0,,0.1,0.9,0.167,0.3,0.3,1,0.3,0.7,0,0.1,0,0,0.3,0.6
Myisha Hines-Allen,TOT,F,39,720,39,10,18.5,3.1,6.1,0.502,0.5,1.3,0.367,2.6,4.9,0.537,1.3,1.5,0.817,1.1,4.7,2.6,0.6,0.1,1.4,2,7.9
Moriah Jefferson,TOT,G,22,170,22,0,7.7,0.4,1.8,0.231,0.2,0.8,0.222,0.2,1,0.238,0.4,0.5,0.9,0.1,0.4,1.2,0.3,0,0.3,0.6,1.4
Sika Koné,TOT,F,26,195,26,0,7.5,1.1,2.8,0.392,0.1,0.2,0.5,1,2.6,0.382,1,1.2,0.867,0.5,1.8,0.4,0.2,0.1,0.5,0.9,3.3
Marina Mabrey,TOT,G,39,1209,39,27,31,5.4,13,0.411,2.5,6.6,0.375,2.9,6.5,0.448,1.3,1.8,0.71,0.6,4.3,4,1.1,0.4,2.3,2.6,14.4
Odyssey Sims,TOT,G,23,665,23,16,28.9,5,10.4,0.485,0.9,2.5,0.351,4.2,7.9,0.527,2,2.7,0.754,0.7,2.1,5.1,1.2,0.2,2.1,1.5,13
Sug Sutton,TOT,G,28,370,28,0,13.2,0.9,2.8,0.312,0.4,1.4,0.256,0.5,1.4,0.368,0.3,0.5,0.692,0.2,1,2.2,0.6,0,1.1,0.9,2.4
Celeste Taylor,TOT,G,21,305,21,4,14.5,0.9,2.6,0.345,0.3,1.3,0.222,0.6,1.3,0.464,0.3,0.6,0.538,0.3,1.3,1.1,0.7,0.5,0.8,1,2.4
Rachel Banham,CON,G,21,270,21,0,12.9,1.6,4.5,0.358,1.1,3.1,0.348,0.5,1.4,0.379,0.4,0.5,0.9,0.1,1.2,0.7,0.4,0.2,0.5,1.5,4.8
Morgan Bertsch,PHO,F,8,78,8,0,9.8,0.8,3.4,0.222,0.3,1.8,0.143,0.5,1.6,0.308,0.9,1,0.875,0.9,1.5,0.3,0,0.1,1.1,1.3,2.6
Monique Billings,DAL,F,24,609,24,12,25.4,3.5,7.4,0.475,0,0.3,0.143,3.5,7.1,0.488,1.7,2.1,0.804,1.9,6.6,1.9,0.6,0.5,2.1,2.5,8.8
Crystal Dangerfield,ATL,G,15,211,15,0,14.1,1,3.6,0.278,0.3,1.5,0.217,0.7,2.1,0.323,0.7,0.7,1,0.1,1.1,1.7,0.3,0.2,0.6,0.9,3.1
Queen Egbo,CON,F-C,3,7,3,0,2.3,0,1.7,0,0,0,,0,1.7,0,0.7,0.7,1,0.3,0.7,0,0,0,0,0.3,0.7
Myisha Hines-Allen,WAS,F,27,517,27,10,19.1,3.2,6.5,0.489,0.5,1.4,0.359,2.7,5.1,0.526,1.1,1.3,0.829,1,4.9,2.7,0.6,0.1,1.4,1.9,8
